,INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
0,Alabama A & M University,Normal,35762,,0.266866567,0.133757962
1,University of Alabama at Birmingham,Birmingham,35294-0110,,0.381158168,0.340872375
2,Amridge University,Montgomery,36117-3553,,PrivacySuppressed,PrivacySuppressed
3,University of Alabama in Huntsville,Huntsville,35899,,0.289772727,0.132530121
4,Alabama State University,Montgomery,36104-0271,,0.17515528,0.096590909
5,The University of Alabama,Tuscaloosa,35487-0166,,0.464339909,0.396261682
6,Central Alabama Community College,Alexander City,35010,,PrivacySuppressed,PrivacySuppressed
7,Athens State University,Athens,35611,,0.211136891,0.180722892
8,Auburn University at Montgomery,Montgomery,36117-3596,,0.226928896,0.175792507
9,Auburn University,Auburn,36849,,0.562956946,0.50070028
10,Lawson State Community College-Bessemer Campus,Bessemer,35022,,PrivacySuppressed,PrivacySuppressed
11,Birmingham Southern College,Birmingham,35254,,0.1328125,0.181818182
12,Shelton State Community College-C A Fredd Campus,Tuscaloosa,35401,,PrivacySuppressed,PrivacySuppressed
13,Chattahoochee Valley Community College,Phenix City,36869,,PrivacySuppressed,PrivacySuppressed
14,Concordia College Alabama,Selma,36701,,PrivacySuppressed,PrivacySuppressed
15,LURLEEN B WALLACE COMMUNITY COLLEGE-MACARTHUR CAMP,OPP,36467,,PrivacySuppressed,PrivacySuppressed
16,South University-Montgomery,Montgomery,36116,,0.211743772,0.206703911
17,Enterprise State Community College,Enterprise,36330-1300,,PrivacySuppressed,PrivacySuppressed
18,James H Faulkner State Community College,Bay Minette,36507-2698,,PrivacySuppressed,PrivacySuppressed
19,Faulkner University,Montgomery,36109-3390,,0.082781457,0.069705094
20,FAULKNER UNIVERSITY-BIRMINGHAM,BIRMINGHAM,35216-4506,,0.082781457,0.069705094
21,FAULKNER UNIVERSITY,HUNTSVILLE,35805-1963,,0.082781457,0.069705094
22,Gadsden Business College,Rainbow City,35906,,PrivacySuppressed,PrivacySuppressed
23,Gadsden State Community College,Gadsden,35903,,PrivacySuppressed,PrivacySuppressed
24,GADSDEN BUSINESS COLLEGE-ANNISTON,ANNISTON,36207,,PrivacySuppressed,PrivacySuppressed
25,George C Wallace State Community College-Dothan,Dothan,36303-9234,,0.038461539,0.028818444
26,George C Wallace State Community College-Hanceville,Hanceville,35077-2000,,PrivacySuppressed,PrivacySuppressed
27,George C Wallace State Community College-Selma,Selma,36703-2808,,PrivacySuppressed,PrivacySuppressed
28,GADSDEN STATE COMMUNITY COLLEGE-AYERS CAMPUS,ANNISTON,36207,,PrivacySuppressed,PrivacySuppressed
29,Herzing University-Birmingham,Birmingham,35209,,0.451923077,0.357954546
30,Huntingdon College,Montgomery,36106-2148,,0.311827957,0.196428571
31,Heritage Christian University,Florence,35630-9977,,PrivacySuppressed,PrivacySuppressed
32,J F Drake State Community and Technical College,Huntsville,35811,,PrivacySuppressed,PrivacySuppressed
33,Jacksonville State University,Jacksonville,36265,,0.085489314,0.085483871
34,Jefferson Davis Community College,Brewton,36426,,PrivacySuppressed,PrivacySuppressed
35,Jefferson State Community College,Birmingham,35215-3098,,0.09118541,0.049668874
36,John C Calhoun State Community College,Tanner,35671,,PrivacySuppressed,PrivacySuppressed
37,H COUNCILL TRENHOLM STATE TECHNICAL COLLEGE-PATTER,MONTGOMERY,36116-269,,PrivacySuppressed,PrivacySuppressed
38,Judson College,Marion,36756,,PrivacySuppressed,PrivacySuppressed
39,Lawson State Community College-Birmingham Campus,Birmingham,35221-1717,,PrivacySuppressed,PrivacySuppressed
40,University of West Alabama,Livingston,35470,,PrivacySuppressed,PrivacySuppressed
41,Lurleen B Wallace Community College,Andalusia,36420-1418,,PrivacySuppressed,PrivacySuppressed
42,Marion Military Institute,Marion,36756-3207,,PrivacySuppressed,PrivacySuppressed
43,Miles College,Fairfield,35064-2621,,0.239616613,0.086466165
44,University of Mobile,Mobile,36613-2842,,0.13477089,0.08045977
45,University of Montevallo,Montevallo,35115-6000,,0.430678466,0.297142857
46,Northwest-Shoals Community College,Muscle Shoals,35661,,0.091254753,0.037453184
47,University of North Alabama,Florence,35632-0001,,0.288927336,0.243309002
